date,value,return,cummax,drawdown
2021-02-01,80000000.0,,80000000.0,0.0
2021-02-02,79339807.25,-0.008252409375000047,80000000.0,-0.8252409375000047
2021-02-03,78969629.55999999,-0.004665724594383969,80000000.0,-1.2879630500000183
2021-02-04,78166508.95000002,-0.010169993381946574,80000000.0,-2.2918638124999724
2021-02-05,77111860.39,-0.013492332895084669,80000000.0,-3.6101745124999973
2021-02-08,77737187.14000002,0.008109345914329769,80000000.0,-2.828516074999976
2021-02-09,78979616.16,0.015982428303746632,80000000.0,-1.2754798000000012
2021-02-10,79238872.08000001,0.003282567485195287,80000000.0,-0.9514098999999887
2021-02-18,81752319.82,0.031719882855757886,81752319.82,0.0
2021-02-19,83629795.02,0.022965405802964023,83629795.02,0.0
2021-02-22,85018347.63999999,0.01660356359438553,85018347.63999999,0.0
2021-02-23,84691477.94999999,-0.0038446958694620115,85018347.63999999,-0.38446958694620115
2021-02-24,84600481.52,-0.0010744461214116097,85018347.63999999,-0.4915011072308739
2021-02-25,84238130.88000003,-0.0042830801136080066,85018347.63999999,-0.9177039799734721
2021-02-26,83663844.13000001,-0.006817420377217331,85018347.63999999,-1.593189643881876
2021-03-01,85596353.55,0.02309850139084202,85596353.55,0.0
2021-03-02,84762278.58000001,-0.009744281565835289,85596353.55,-0.9744281565835289
2021-03-03,86466121.43000002,0.020101428118073805,86466121.43000002,0.0
2021-03-04,86130703.51,-0.003879183134998798,86466121.43000002,-0.3879183134998798
2021-03-05,86966402.52,0.00970268412939368,86966402.52,0.0
2021-03-08,86162123.78,-0.009248154651619989,86966402.52,-0.9248154651619989
2021-03-09,84191936.54999998,-0.02286604767345979,86966402.52,-3.1902733579924236
2021-03-10,82925422.96,-0.01504316971314501,86966402.52,-4.646598505751321
2021-03-11,84971652.45,0.02467553877882578,86966402.52,-2.293701949487048
2021-03-12,85482455.2,0.006011448939404529,86966402.52,-1.7063455276981498
2021-03-15,86886654.26999998,0.016426751743555235,86966402.52,-0.09170006771486161
2021-03-16,87925358.73,0.011954706608592103,87925358.73,0.0
2021-03-17,88577487.35,0.007416843438791565,88577487.35,0.0
2021-03-18,88070934.33999999,-0.0057187556923853355,88577487.35,-0.5718755692385336
2021-03-19,88126012.75999999,0.000625387029361768,88577487.35,-0.5096945098657768
2021-03-22,90067700.87,0.022033087044207367,90067700.87,0.0
2021-03-23,88693019.46999998,-0.015262756645516906,90067700.87,-1.5262756645516906
2021-03-24,87636828.88,-0.011908384631749258,90067700.87,-2.6989386500590573
2021-03-25,87280293.10000002,-0.004068332738147884,90067700.87,-3.094791743405567
2021-03-26,88039491.34999998,0.008698392535530619,90067700.87,-2.2518722032523697
2021-03-29,87804852.55999999,-0.002665153857684066,90067700.87,-2.5123860031312617
2021-03-30,86108776.05000003,-0.019316432526789717,90067700.87,-4.395498921099506
2021-03-31,86192548.41999999,0.0009728668068782476,90067700.87,-4.302488475411681
2021-04-01,87531665.37,0.015536342462862951,90067700.87,-2.815699163521901
2021-04-02,87035082.63999999,-0.005673178133889567,90067700.87,-3.3670430139847496
2021-04-06,88797397.90000002,0.020248332127050794,90067700.87,-1.4103868065128977
2021-04-07,90055883.89999999,0.014172554936995096,90067700.87,-0.013120097311103418
2021-04-08,87780420.57000002,-0.025267236647487645,90067700.87,-2.5395122534562664
2021-04-09,88417813.54000002,0.007261220279660252,90067700.87,-1.8318301833654682
2021-04-12,88777646.19000001,0.004069685005694046,90067700.87,-1.4323166546262867
2021-04-13,86663019.12000002,-0.023819364003797916,90067700.87,-3.7801361832408342
2021-04-14,87561560.46999998,0.01036822117581404,90067700.87,-2.7825073536819622
2021-04-15,86242683.73000003,-0.015062279988166893,90067700.87,-4.246824447668363
2021-04-16,87935966.37,0.01963392796658714,90067700.87,-2.3668134963019227
2021-04-19,88615414.30000001,0.0077266215184486065,90067700.87,-1.6124388165477455
2021-04-20,88015474.41,-0.006770152740797064,90067700.87,-2.278537633554234
2021-04-21,86947215.81,-0.012137168005523113,90067700.87,-3.464599440041194
2021-04-22,87265836.6,0.003664531256483805,90067700.87,-3.1108424473320406
2021-04-23,86486483.42999999,-0.008930793542635929,90067700.87,-3.9761395099548458
2021-04-26,85400971.08,-0.01255123699044347,90067700.87,-5.181357739702685
2021-04-27,84317955.05,-0.012681542332644846,90067700.87,-6.383804365450551
2021-04-28,83761589.63000001,-0.006598421648984054,90067700.87,-7.001523497421092
2021-04-29,83845500.91000001,0.001001787100396001,90067700.87,-6.908358823304328
2021-04-30,82526658.34,-0.015729437545082603,90067700.87,-8.3726379791624
2021-05-06,83667327.80000001,0.013821830217583653,90067700.87,-7.106180138025309
2021-05-07,84732781.48,0.012734405508287194,90067700.87,-5.9232325666891406
2021-05-10,88412888.12000003,0.043431911188571926,90067700.87,-1.837298758617656
2021-05-11,88026967.60000002,-0.004364980357572046,90067700.87,-2.265777021382498
2021-05-12,90100806.66,0.02355913325815817,90100806.66,0.0
2021-05-13,89190733.97,-0.010100605352338365,90100806.66,-1.0100605352338365
2021-05-14,89387635.87999998,0.002207649844727211,90100806.66,-0.7915254107448755
2021-05-17,87653750.68000002,-0.019397371716236456,90100806.66,-2.715909069753464
2021-05-18,88789102.61000001,0.012952690799790778,90100806.66,-1.4558183201952457
2021-05-19,87599580.32000002,-0.013397165361890062,90100806.66,-2.776031017611724
2021-05-20,85447768.39999999,-0.024564180697435933,90100806.66,-5.164258159817015
2021-05-21,86815440.05999999,0.016005937727918473,90100806.66,-3.6463231815420993
2021-05-24,86835599.42000003,0.00023220938563595084,90100806.66,-3.6239489534443226
