date,value,return,cummax,drawdown
2021-04-21,80000000.0,0.0,80000000.0,0.0
2021-04-22,80000000.0,0.0,80000000.0,0.0
2021-04-22,80000000.0,0.0,80000000.0,0.0
2021-04-23,80000000.0,0.0,80000000.0,0.0
2021-04-23,80000000.0,0.0,80000000.0,0.0
2021-04-26,80000000.0,0.0,80000000.0,0.0
2021-04-26,80000000.0,0.0,80000000.0,0.0
2021-04-27,80000000.0,0.0,80000000.0,0.0
2021-04-27,80000000.0,0.0,80000000.0,0.0
2021-04-28,80000000.0,0.0,80000000.0,0.0
2021-04-28,80000000.0,0.0,80000000.0,0.0
2021-04-29,80000000.0,0.0,80000000.0,0.0
2021-04-29,80000000.0,0.0,80000000.0,0.0
2021-04-30,80000000.0,0.0,80000000.0,0.0
2021-04-30,80000000.0,0.0,80000000.0,0.0
2021-05-06,80000000.0,0.0,80000000.0,0.0
2021-05-06,80000000.0,0.0,80000000.0,0.0
2021-05-07,80000000.0,0.0,80000000.0,0.0
2021-05-07,80000000.0,0.0,80000000.0,0.0
2021-05-10,80000000.0,0.0,80000000.0,0.0
2021-05-10,80000000.0,0.0,80000000.0,0.0
2021-05-11,80000000.0,0.0,80000000.0,0.0
2021-05-11,80000000.0,0.0,80000000.0,0.0
2021-05-12,80000000.0,0.0,80000000.0,0.0
2021-05-12,80000000.0,0.0,80000000.0,0.0
2021-05-13,80000000.0,0.0,80000000.0,0.0
2021-05-13,80000000.0,0.0,80000000.0,0.0
2021-05-14,80000000.0,0.0,80000000.0,0.0
2021-05-14,80000000.0,0.0,80000000.0,0.0
2021-05-17,80000000.0,0.0,80000000.0,0.0
2021-05-17,80000000.0,0.0,80000000.0,0.0
2021-05-18,80000000.0,0.0,80000000.0,0.0
2021-05-18,80000000.0,0.0,80000000.0,0.0
2021-05-19,80000000.0,0.0,80000000.0,0.0
2021-05-19,80000000.0,0.0,80000000.0,0.0
2021-05-20,80000000.0,0.0,80000000.0,0.0
2021-05-20,80000000.0,0.0,80000000.0,0.0
2021-05-21,80000000.0,0.0,80000000.0,0.0
2021-05-21,80000000.0,0.0,80000000.0,0.0
2021-05-24,80000000.0,0.0,80000000.0,0.0
2021-05-24,80000000.0,0.0,80000000.0,0.0
2021-05-25,80000000.0,0.0,80000000.0,0.0
2021-05-25,80000000.0,0.0,80000000.0,0.0
2021-05-26,80000000.0,0.0,80000000.0,0.0
2021-05-26,80000000.0,0.0,80000000.0,0.0
2021-05-27,80000000.0,0.0,80000000.0,0.0
2021-05-27,80000000.0,0.0,80000000.0,0.0
2021-05-28,80000000.0,0.0,80000000.0,0.0
2021-05-28,80000000.0,0.0,80000000.0,0.0
2021-05-31,80000000.0,0.0,80000000.0,0.0
2021-05-31,80000000.0,0.0,80000000.0,0.0
2021-06-01,80000000.0,0.0,80000000.0,0.0
2021-06-01,80000000.0,0.0,80000000.0,0.0
2021-06-02,80000000.0,0.0,80000000.0,0.0
2021-06-02,80000000.0,0.0,80000000.0,0.0
2021-06-03,80000000.0,0.0,80000000.0,0.0
2021-06-03,80000000.0,0.0,80000000.0,0.0
2021-06-04,80000000.0,0.0,80000000.0,0.0
2021-06-04,80000000.0,0.0,80000000.0,0.0
2021-06-07,80000000.0,0.0,80000000.0,0.0
2021-06-07,80000000.0,0.0,80000000.0,0.0
2021-06-08,80000000.0,0.0,80000000.0,0.0
2021-06-08,80000000.0,0.0,80000000.0,0.0
2021-06-09,80000000.0,0.0,80000000.0,0.0
2021-06-09,80000000.0,0.0,80000000.0,0.0
2021-06-10,80000000.0,0.0,80000000.0,0.0
2021-06-10,80000000.0,0.0,80000000.0,0.0
2021-06-11,80000000.0,0.0,80000000.0,0.0
2021-06-11,80000000.0,0.0,80000000.0,0.0
2021-06-15,80000000.0,0.0,80000000.0,0.0
2021-06-15,80000000.0,0.0,80000000.0,0.0
2021-06-16,80000000.0,0.0,80000000.0,0.0
2021-06-16,80000000.0,0.0,80000000.0,0.0
2021-06-17,80000000.0,0.0,80000000.0,0.0
2021-06-17,80000000.0,0.0,80000000.0,0.0
2021-06-18,80000000.0,0.0,80000000.0,0.0
2021-06-18,80000000.0,0.0,80000000.0,0.0
2021-06-21,80000000.0,0.0,80000000.0,0.0
2021-06-21,80000000.0,0.0,80000000.0,0.0
2021-06-22,80000000.0,0.0,80000000.0,0.0
2021-06-22,80000000.0,0.0,80000000.0,0.0
2021-06-23,80000000.0,0.0,80000000.0,0.0
2021-06-23,80000000.0,0.0,80000000.0,0.0
2021-06-24,80000000.0,0.0,80000000.0,0.0
2021-06-24,80000000.0,0.0,80000000.0,0.0
2021-06-25,80000000.0,0.0,80000000.0,0.0
